subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN05CA,2,23,gestures/girl_S.mp4,wh_stle,i,G,girl,1,22,1.632567,i,TRUE
AN05CA,2,24,gestures/baby_S.mp4,sm_le,i,G,baby,1,23,1.3190038,i,TRUE
AN05CA,2,25,gestures/dog_S.mp4,pl_y,a,G,dog,1,24,1.321996,a,TRUE
AN05CA,2,26,gestures/frog_S.mp4,list_n,e,G,frog,1,25,1.2408744,i,FALSE
AN05CA,2,27,gestures/frog_S.mp4,tong_e,u,G,frog,1,26,2.4657028,e,FALSE
AN05CA,2,28,gestures/cat_S.mp4,sl_ep,e,G,cat,1,27,1.6328198,e,TRUE
AN05CA,2,29,gestures/cat_S.mp4,lo_k,o,G,cat,1,28,1.4290819,o,TRUE
AN05CA,2,30,gestures/frog_S.mp4,fo_t,o,G,frog,1,29,1.1742471,o,TRUE
AN05CA,2,31,gestures/dog_S.mp4,b_rk,a,G,dog,1,30,1.6531254,a,TRUE
AN05CA,2,32,gestures/girl_S.mp4,h_g,u,G,girl,1,31,1.6933877,u,TRUE
AN05CA,2,33,gestures/horse_POS.mp4,h_ad,e,S,horse,1,32,1.3573724,e,TRUE
AN05CA,2,34,gestures/dog_PL.mp4,pl_y,a,S,dog,1,33,1.0856122,a,TRUE
AN05CA,2,35,gestures/horse_POS.mp4,mo_th,u,S,horse,1,34,1.95626,o,FALSE
AN05CA,2,36,gestures/horse_PL.mp4,w_lk,a,S,horse,1,35,1.2436539,a,TRUE
AN05CA,2,37,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1,36,1.1817226,i,TRUE
AN05CA,2,38,gestures/dog_POS.mp4,n_ck,e,S,dog,1,37,1.2720253,e,TRUE
AN05CA,2,39,gestures/horse_PL.mp4,k_ck,i,S,horse,1,38,1.1260723,i,TRUE
AN05CA,2,40,gestures/boy_POS.mp4,bo_k,o,S,boy,1,39,1.5644097,o,TRUE
AN05CA,2,41,gestures/car_PL.mp4,cr_sh,a,S,car,1,40,1.1478772,a,TRUE
AN05CA,2,42,gestures/boy_PL.mp4,po_nt,i,S,boy,1,41,1.1157776,i,TRUE
AN05CA,2,43,gestures/baby_POS.mp4,bl_nket,a,S,baby,1,42,1.4163541,a,TRUE
AN05CA,2,44,gestures/frog_PL.mp4,list_n,e,S,frog,1,43,3.4682777,i,FALSE
AN05CA,2,45,gestures/dog_POS.mp4,to_th,o,S,dog,1,44,1.1086314,o,TRUE
AN05CA,2,46,gestures/boy_PL.mp4,w_ve,a,S,boy,1,45,1.199011,a,TRUE
AN05CA,2,47,gestures/cat_PL.mp4,lo_k,o,S,cat,1,46,1.2153655,o,TRUE
