"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct","age"
"72","A19",8,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,7,2.0994787,"e",TRUE,19
"73","A19",9,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,8,3.5104632,"a",TRUE,19
"74","A19",10,"gestures/boy_S.mp4","bo_k","o","G","boy",1,9,2.2036417,"o",TRUE,19
"75","A19",11,"gestures/car_S.mp4","cr_sh","a","G","car",1,10,2.3736258,"a",TRUE,19
"76","A19",12,"gestures/horse_S.mp4","w_lk","a","G","horse",1,11,3.0511916,"a",TRUE,19
"77","A19",13,"gestures/dog_S.mp4","pl_y","a","G","dog",1,12,1.7756249,"a",TRUE,19
"78","A19",14,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,13,1.7781936,"e",TRUE,19
"79","A19",15,"gestures/cat_S.mp4","lo_k","o","G","cat",1,14,2.135034,"o",TRUE,19
"80","A19",16,"gestures/frog_S.mp4","fo_t","o","G","frog",1,15,5.3029685,"o",TRUE,19
"81","A19",17,"gestures/horse_S.mp4","h_ad","e","G","horse",1,16,3.7033782,"e",TRUE,19
"82","A19",18,"gestures/baby_S.mp4","sm_le","i","G","baby",1,17,2.616294,"i",TRUE,19
"83","A19",19,"gestures/dog_S.mp4","n_ck","e","G","dog",1,18,3.6506057,"e",TRUE,19
"84","A19",20,"gestures/frog_S.mp4","j_mp","u","G","frog",1,19,2.0810018,"u",TRUE,19
"85","A19",21,"gestures/girl_S.mp4","h_g","u","G","girl",1,20,2.329001,"u",TRUE,19
"86","A19",22,"gestures/frog_S.mp4","tong_e","u","G","frog",1,21,3.4341936,"u",TRUE,19
"87","A19",23,"gestures/horse_S.mp4","k_ck","i","G","horse",1,22,2.0141277,"i",TRUE,19
"88","A19",24,"gestures/horse_S.mp4","mo_th","u","G","horse",1,23,2.822626,"u",TRUE,19
"89","A19",25,"gestures/boy_S.mp4","po_nt","i","G","boy",1,24,2.555474,"i",TRUE,19
"90","A19",26,"gestures/dog_S.mp4","to_th","o","G","dog",1,25,2.4458785,"o",TRUE,19
"91","A19",27,"gestures/dog_S.mp4","b_rk","a","G","dog",1,26,2.1945446,"a",TRUE,19
"92","A19",28,"gestures/car_S.mp4","whe_l","e","G","car",1,27,2.5572762,"e",TRUE,19
"93","A19",29,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,28,2.8912683,"i",TRUE,19
"94","A19",30,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,29,2.8067114,"i",TRUE,19
"95","A19",31,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,30,2.3227987,"e",TRUE,19
"96","A19",32,"gestures/car_S.mp4","wind_w","o","G","car",1,31,2.9567268,"o",TRUE,19
"97","A19",33,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,32,3.1564355,"i",TRUE,19
"98","A19",34,"gestures/car_POS.mp4","whe_l","e","S","car",1,33,1.9005358,"e",TRUE,19
"99","A19",35,"gestures/car_POS.mp4","wind_w","o","S","car",1,34,2.1020231,"o",TRUE,19
"100","A19",36,"gestures/dog_POS.mp4","to_th","o","S","dog",1,35,2.0715556,"o",TRUE,19
"101","A19",37,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,36,2.4555144,"e",TRUE,19
"102","A19",38,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,37,2.456111,"i",TRUE,19
"103","A19",39,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,38,2.1068487,"a",TRUE,19
"104","A19",40,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,39,2.3007684,"i",TRUE,19
