"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct"
"315","D05",59,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,58,0.82801205,"o",FALSE
"316","D05",60,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,59,0.99189645,"a",TRUE
"317","D05",61,"gestures/car_POS.mp4","wind_w","o","S","car",1,60,1.0953467,"o",TRUE
"318","D05",62,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,61,0.8065333,"a",TRUE
"319","D05",63,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,62,0.79407126,"e",TRUE
"320","D05",64,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,63,0.847999,"a",TRUE
"321","D06",1,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,0,0.81995946,"o",TRUE
"322","D06",2,"gestures/car_POS.mp4","whe_l","e","S","car",1,1,0.9687672,"e",TRUE
"323","D06",3,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,2,0.7853355,"o",TRUE
"324","D06",4,"gestures/car_PL.mp4","m_ve","o","S","car",1,3,0.8447633,"o",TRUE
"325","D06",5,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,4,0.88674206,"e",TRUE
"326","D06",6,"gestures/cat_POS.mp4","n_se","o","S","cat",1,5,0.9024968,"o",TRUE
"327","D06",7,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,6,1.0050898,"u",TRUE
"328","D06",8,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,7,0.77133745,"i",TRUE
"329","D06",9,"gestures/car_PL.mp4","cr_sh","a","S","car",1,8,1.0096414,"a",TRUE
"330","D06",10,"gestures/girl_PL.mp4","h_g","u","S","girl",1,9,1.0477418,"u",TRUE
"331","D06",11,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,10,1.1002673,"a",TRUE
"332","D06",12,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,11,1.4759567,"i",TRUE
"333","D06",13,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,12,0.86130863,"e",TRUE
"334","D06",14,"gestures/dog_POS.mp4","to_th","o","S","dog",1,13,1.0804874,"o",TRUE
"335","D06",15,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,14,1.0211853,"a",TRUE
"336","D06",16,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,15,0.8091551,"a",TRUE
"337","D06",17,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,16,1.1102259,"i",TRUE
"338","D06",18,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,17,1.2313547,"o",TRUE
"339","D06",19,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,18,0.8714442,"a",TRUE
"340","D06",20,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,19,1.0466139,"e",TRUE
"341","D06",21,"gestures/car_POS.mp4","wind_w","o","S","car",1,20,0.9453656,"o",TRUE
"342","D06",22,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,21,0.8865637,"i",TRUE
"343","D06",23,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,22,0.9020764,"a",TRUE
"344","D06",24,"gestures/frog_PL.mp4","list_n","e","S","frog",1,23,1.0030258,"e",TRUE
"345","D06",25,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,24,0.84809065,"i",TRUE
"346","D06",26,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,25,0.8735652,"i",TRUE
"347","D06",27,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,26,0.9556454,"u",TRUE
"348","D06",28,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,27,0.9806672,"i",TRUE
"349","D06",29,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,28,0.92999685,"e",TRUE
"350","D06",30,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,29,0.8782061,"a",TRUE
"351","D06",31,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,30,0.8822994,"e",TRUE
"352","D06",32,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,31,1.0330688,"u",TRUE
"353","D06",33,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,32,1.0325782,"a",TRUE
"354","D06",34,"gestures/cat_S.mp4","n_se","o","G","cat",1,33,0.7662342,"o",TRUE
"355","D06",35,"gestures/horse_S.mp4","w_lk","a","G","horse",1,34,0.9618252,"a",TRUE
"356","D06",36,"gestures/dog_S.mp4","b_rk","a","G","dog",1,35,1.0712763,"a",TRUE
"357","D06",37,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,36,0.8218631,"e",TRUE
"358","D06",38,"gestures/cat_S.mp4","lo_k","o","G","cat",1,37,0.74667597,"o",TRUE
"359","D06",39,"gestures/frog_S.mp4","tong_e","u","G","frog",1,38,0.89863396,"u",TRUE
"360","D06",40,"gestures/car_S.mp4","cr_sh","a","G","car",1,39,0.9891298,"a",TRUE
"361","D06",41,"gestures/frog_S.mp4","fo_t","o","G","frog",1,40,0.8465228,"o",TRUE
"362","D06",42,"gestures/dog_S.mp4","to_th","o","G","dog",1,41,0.7666888,"o",TRUE
"363","D06",43,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,42,0.9589858,"i",TRUE
"364","D06",44,"gestures/car_S.mp4","wind_w","o","G","car",1,43,0.8852659,"o",TRUE
"365","D06",45,"gestures/car_S.mp4","whe_l","e","G","car",1,44,0.91960055,"e",TRUE
"366","D06",46,"gestures/dog_S.mp4","n_ck","e","G","dog",1,45,0.9458109,"e",TRUE
"367","D06",47,"gestures/boy_S.mp4","w_ve","a","G","boy",1,46,1.0610018,"a",TRUE
"368","D06",48,"gestures/horse_S.mp4","mo_th","u","G","horse",1,47,0.8899179,"u",TRUE
"369","D06",49,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,48,0.93142676,"o",FALSE
"370","D06",50,"gestures/horse_S.mp4","h_ad","e","G","horse",1,49,0.93704623,"e",TRUE
"371","D06",51,"gestures/boy_S.mp4","bo_k","o","G","boy",1,50,0.86781925,"o",TRUE
"372","D06",52,"gestures/baby_S.mp4","sm_le","i","G","baby",1,51,0.953679,"i",TRUE
"373","D06",53,"gestures/frog_S.mp4","list_n","e","G","frog",1,52,1.0969524,"e",TRUE
"374","D06",54,"gestures/car_S.mp4","m_ve","o","G","car",1,53,1.1349572,"o",TRUE
"375","D06",55,"gestures/girl_S.mp4","ha_r","i","G","girl",1,54,0.9534443,"i",TRUE
"376","D06",56,"gestures/cat_S.mp4","ta_l","i","G","cat",1,55,0.77433807,"i",TRUE
"377","D06",57,"gestures/boy_S.mp4","po_nt","i","G","boy",1,56,0.8883614,"i",TRUE
"378","D06",58,"gestures/frog_S.mp4","j_mp","u","G","frog",1,57,0.9336128,"u",TRUE
"379","D06",59,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,58,0.9952537,"e",TRUE
"380","D06",60,"gestures/dog_S.mp4","pl_y","a","G","dog",1,59,0.99594676,"a",TRUE
"381","D06",61,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,60,0.9815225,"e",TRUE
"382","D06",62,"gestures/girl_S.mp4","h_g","u","G","girl",1,61,1.1377743,"u",TRUE
"383","D06",63,"gestures/horse_S.mp4","k_ck","i","G","horse",1,62,0.8829119,"i",TRUE
"384","D06",64,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,63,1.0182843,"a",TRUE
